user_id,signup_date,age,gender,city_tier,device_type,acquisition_channel,name
U000001,2024-05-04,28,Male,Tier 3,iOS,Paid Ad,Rudra Bora
U000002,2024-01-05,22,Other,Tier 1,Android,Referral,Girindra Chaudhary
U000003,2024-02-23,33,Male,Tier 2,Android,Social Media,Aishani Savant
U000004,2024-02-13,42,Male,Tier 1,Android,Organic,Aarav Gola
U000005,2024-05-23,26,Male,Tier 2,Android,Organic,Agastya Acharya
U000006,2024-05-11,33,Other,Tier 1,Android,Paid Ad,Mugdha Mann
U000007,2024-06-22,30,Other,Tier 3,Android,Paid Ad,Zehaan Cherian
U000008,2024-01-17,33,Other,Tier 1,Android,Organic,Lekha Ganesh
U000009,2024-03-22,19,Male,Tier 3,iOS,Referral,Indira Sundaram
U000010,2024-01-06,26,Male,Tier 1,Android,Paid Ad,Inaya Bhardwaj
U000011,2024-02-12,21,Male,Tier 2,Android,Social Media,Manbir Aggarwal
U000012,2024-04-08,25,Other,Tier 2,Android,Paid Ad,Yatin Tella
U000013,2024-01-06,32,Other,Tier 1,iOS,Referral,Rachana Korpal
U000014,2024-02-08,50,Other,Tier 3,Android,Social Media,Ekansh Keer
U000015,2024-05-06,20,Other,Tier 1,Android,Paid Ad,Nakul Kale
U000016,2024-04-15,28,Female,Tier 1,iOS,Paid Ad,Ekani Soni
U000017,2024-02-12,26,Female,Tier 2,Android,Referral,Pranav Chahal
U000018,2024-04-24,20,Female,Tier 3,iOS,Organic,Janaki Keer
U000019,2024-06-06,18,Male,Tier 3,Android,Referral,Ishwar Saxena
U000020,2024-05-27,39,Male,Tier 1,Android,Organic,Dalbir Mohanty
U000021,2024-05-15,44,Female,Tier 2,Android,Organic,Finn Singh
U000022,2024-03-07,26,Female,Tier 1,iOS,Paid Ad,Siddharth Thakur
U000023,2024-01-31,45,Male,Tier 2,Android,Referral,Oeshi Chokshi
U000024,2024-05-28,39,Female,Tier 2,iOS,Paid Ad,Amruta Das
U000025,2024-01-20,31,Male,Tier 2,Android,Organic,Rishi Murthy
U000026,2024-03-14,18,Male,Tier 2,Android,Paid Ad,Damyanti Sangha
U000027,2024-03-10,47,Female,Tier 1,Android,Referral,Baghyawati Badami
U000028,2024-04-27,25,Female,Tier 1,Android,Organic,Jagdish Choudhary
U000029,2024-06-05,49,Male,Tier 3,Android,Referral,Jairaj Bansal
U000030,2024-05-21,41,Female,Tier 1,iOS,Paid Ad,Aashi Master
U000031,2024-04-14,41,Male,Tier 3,Android,Organic,Rehaan Rau
U000032,2024-06-28,24,Female,Tier 2,iOS,Referral,Peter Hans
U000033,2024-01-16,18,Other,Tier 2,Android,Organic,Damyanti Krishnan
