user_id,signup_date,age,gender,city_tier,device_type,acquisition_channel,name,furthest_stage,stage_rank,dropped_at,time_to_first_txn_mins,signup_week,converted
U000001,2024-05-04,28,Male,Tier 3,iOS,Paid Ad,Rudra Bora,signup_completed,4,kyc_initiated,,2024-04-29/2024-05-05,False
U000002,2024-01-05,22,Other,Tier 1,Android,Referral,Girindra Chaudhary,app_open,2,signup_started,,2024-01-01/2024-01-07,False
U000003,2024-02-23,33,Male,Tier 2,Android,Social Media,Aishani Savant,kyc_initiated,5,kyc_completed,,2024-02-19/2024-02-25,False
U000004,2024-02-13,42,Male,Tier 1,Android,Organic,Aarav Gola,app_open,2,signup_started,,2024-02-12/2024-02-18,False
U000005,2024-05-23,26,Male,Tier 2,Android,Organic,Agastya Acharya,app_open,2,signup_started,,2024-05-20/2024-05-26,False
U000006,2024-05-11,33,Other,Tier 1,Android,Paid Ad,Mugdha Mann,signup_completed,4,kyc_initiated,,2024-05-06/2024-05-12,False
U000007,2024-06-22,30,Other,Tier 3,Android,Paid Ad,Zehaan Cherian,app_install,1,app_open,,2024-06-17/2024-06-23,False
U000008,2024-01-17,33,Other,Tier 1,Android,Organic,Lekha Ganesh,app_install,1,app_open,,2024-01-15/2024-01-21,False
U000009,2024-03-22,19,Male,Tier 3,iOS,Referral,Indira Sundaram,app_open,2,signup_started,,2024-03-18/2024-03-24,False
U000010,2024-01-06,26,Male,Tier 1,Android,Paid Ad,Inaya Bhardwaj,signup_completed,4,kyc_initiated,,2024-01-01/2024-01-07,False
U000011,2024-02-12,21,Male,Tier 2,Android,Social Media,Manbir Aggarwal,kyc_initiated,5,kyc_completed,,2024-02-12/2024-02-18,False
U000012,2024-04-08,25,Other,Tier 2,Android,Paid Ad,Yatin Tella,kyc_initiated,5,kyc_completed,,2024-04-08/2024-04-14,False
U000013,2024-01-06,32,Other,Tier 1,iOS,Referral,Rachana Korpal,app_open,2,signup_started,,2024-01-01/2024-01-07,False
U000014,2024-02-08,50,Other,Tier 3,Android,Social Media,Ekansh Keer,app_open,2,signup_started,,2024-02-05/2024-02-11,False
U000015,2024-05-06,20,Other,Tier 1,Android,Paid Ad,Nakul Kale,app_open,2,signup_started,,2024-05-06/2024-05-12,False
U000016,2024-04-15,28,Female,Tier 1,iOS,Paid Ad,Ekani Soni,app_open,2,signup_started,,2024-04-15/2024-04-21,False
U000017,2024-02-12,26,Female,Tier 2,Android,Referral,Pranav Chahal,app_install,1,app_open,,2024-02-12/2024-02-18,False
U000018,2024-04-24,20,Female,Tier 3,iOS,Organic,Janaki Keer,signup_completed,4,kyc_initiated,,2024-04-22/2024-04-28,False
U000019,2024-06-06,18,Male,Tier 3,Android,Referral,Ishwar Saxena,app_install,1,app_open,,2024-06-03/2024-06-09,False
U000020,2024-05-27,39,Male,Tier 1,Android,Organic,Dalbir Mohanty,kyc_initiated,5,kyc_completed,,2024-05-27/2024-06-02,False
U000021,2024-05-15,44,Female,Tier 2,Android,Organic,Finn Singh,app_install,1,app_open,,2024-05-13/2024-05-19,False
U000022,2024-03-07,26,Female,Tier 1,iOS,Paid Ad,Siddharth Thakur,app_open,2,signup_started,,2024-03-04/2024-03-10,False
U000023,2024-01-31,45,Male,Tier 2,Android,Referral,Oeshi Chokshi,kyc_completed,6,first_transaction,,2024-01-29/2024-02-04,False
U000024,2024-05-28,39,Female,Tier 2,iOS,Paid Ad,Amruta Das,signup_completed,4,kyc_initiated,,2024-05-27/2024-06-02,False
U000025,2024-01-20,31,Male,Tier 2,Android,Organic,Rishi Murthy,signup_started,3,signup_completed,,2024-01-15/2024-01-21,False
U000026,2024-03-14,18,Male,Tier 2,Android,Paid Ad,Damyanti Sangha,app_install,1,app_open,,2024-03-11/2024-03-17,False
U000027,2024-03-10,47,Female,Tier 1,Android,Referral,Baghyawati Badami,app_install,1,app_open,,2024-03-04/2024-03-10,False
U000028,2024-04-27,25,Female,Tier 1,Android,Organic,Jagdish Choudhary,day1_return,9,day7_return,379.0,2024-04-22/2024-04-28,True
U000029,2024-06-05,49,Male,Tier 3,Android,Referral,Jairaj Bansal,app_install,1,app_open,,2024-06-03/2024-06-09,False
U000030,2024-05-21,41,Female,Tier 1,iOS,Paid Ad,Aashi Master,app_open,2,signup_started,,2024-05-20/2024-05-26,False
U000031,2024-04-14,41,Male,Tier 3,Android,Organic,Rehaan Rau,signup_started,3,signup_completed,,2024-04-08/2024-04-14,False
U000032,2024-06-28,24,Female,Tier 2,iOS,Referral,Peter Hans,signup_started,3,signup_completed,,2024-06-24/2024-06-30,False
U000033,2024-01-16,18,Other,Tier 2,Android,Organic,Damyanti Krishnan,first_transaction,7,notification_opted_in,102.0,2024-01-15/2024-01-21,True
U000034,2024-02-26,21,Other,Tier 1,iOS,Paid Ad,Zashil Mittal,app_open,2,signup_started,,2024-02-26/2024-03-03,False
U000035,2024-04-30,31,Female,Tier 2,Android,Social Media,Gaurang Chaudhry,app_open,2,signup_started,,2024-04-29/2024-05-05,False
U000036,2024-04-22,52,Male,Tier 1,Android,Paid Ad,Deepa Pradhan,app_open,2,signup_started,,2024-04-22/2024-04-28,False
U000037,2024-05-16,26,Male,Tier 1,Android,Paid Ad,Samarth Prashad,app_install,1,app_open,,2024-05-13/2024-05-19,False
U000038,2024-01-09,19,Other,Tier 1,iOS,Organic,Indira Arora,kyc_initiated,5,kyc_completed,,2024-01-08/2024-01-14,False
U000039,2024-02-14,22,Female,Tier 2,iOS,Organic,Chameli Balay,signup_completed,4,kyc_initiated,,2024-02-12/2024-02-18,False
U000040,2024-01-16,35,Male,Tier 3,Android,Referral,Raghav Chakraborty,app_install,1,app_open,,2024-01-15/2024-01-21,False
U000041,2024-06-17,28,Male,Tier 2,Android,Paid Ad,Teerth Badami,signup_started,3,signup_completed,,2024-06-17/2024-06-23,False
U000042,2024-03-14,20,Female,Tier 3,Android,Organic,Orinder Khanna,app_open,2,signup_started,,2024-03-11/2024-03-17,False
U000043,2024-03-29,19,Other,Tier 2,Android,Organic,Neelima D’Alia,app_open,2,signup_started,,2024-03-25/2024-03-31,False
U000044,2024-06-10,31,Female,Tier 1,Android,Organic,Omaja Pandit,first_transaction,7,notification_opted_in,460.0,2024-06-10/2024-06-16,True
U000045,2024-02-01,36,Female,Tier 1,iOS,Organic,Warhi Mann,kyc_initiated,5,kyc_completed,,2024-01-29/2024-02-04,False
U000046,2024-03-09,27,Male,Tier 1,iOS,Referral,Dev Chahal,app_install,1,app_open,,2024-03-04/2024-03-10,False
U000047,2024-05-10,25,Female,Tier 2,iOS,Paid Ad,Pushti Hari,app_install,1,app_open,,2024-05-06/2024-05-12,False
U000048,2024-05-16,31,Other,Tier 1,Android,Referral,Vrishti Lall,app_open,2,signup_started,,2024-05-13/2024-05-19,False
U000049,2024-05-05,46,Male,Tier 2,Android,Paid Ad,Prisha Borde,app_install,1,app_open,,2024-04-29/2024-05-05,False
U000050,2024-04-28,37,Other,Tier 3,iOS,Referral,Dhriti Mahajan,app_install,1,app_open,,2024-04-22/2024-04-28,False
U000051,2024-02-03,34,Other,Tier 1,Android,Referral,Vasana Srivastava,app_open,2,signup_started,,2024-01-29/2024-02-04,False
U000052,2024-05-21,33,Male,Tier 1,Android,Referral,Sanya Pai,app_open,2,signup_started,,2024-05-20/2024-05-26,False
U000053,2024-02-01,18,Female,Tier 1,Android,Referral,Yatin Krish,kyc_initiated,5,kyc_completed,,2024-01-29/2024-02-04,False
U000054,2024-03-14,34,Female,Tier 1,Android,Organic,Girish Prashad,app_open,2,signup_started,,2024-03-11/2024-03-17,False
U000055,2024-06-28,27,Other,Tier 2,Android,Referral,Lakshit Dewan,app_install,1,app_open,,2024-06-24/2024-06-30,False
U000056,2024-05-13,34,Other,Tier 2,Android,Paid Ad,Sanya Borra,app_open,2,signup_started,,2024-05-13/2024-05-19,False
U000057,2024-02-12,25,Other,Tier 1,iOS,Paid Ad,Chandran Saxena,app_open,2,signup_started,,2024-02-12/2024-02-18,False
U000058,2024-03-03,46,Male,Tier 2,iOS,Paid Ad,Jai Bhattacharyya,kyc_initiated,5,kyc_completed,,2024-02-26/2024-03-03,False
U000059,2024-02-14,33,Male,Tier 2,Android,Referral,Varenya Dube,first_transaction,7,notification_opted_in,605.0,2024-02-12/2024-02-18,True
U000060,2024-06-05,26,Female,Tier 1,Android,Organic,Tejas Kapur,app_open,2,signup_started,,2024-06-03/2024-06-09,False
U000061,2024-03-18,50,Female,Tier 3,iOS,Paid Ad,Pranit Vig,app_install,1,app_open,,2024-03-18/2024-03-24,False
U000062,2024-01-13,18,Male,Tier 3,Android,Social Media,Rohan Khanna,app_open,2,signup_started,,2024-01-08/2024-01-14,False
U000063,2024-06-26,52,Other,Tier 3,Android,Paid Ad,Zinal Kohli,app_open,2,signup_started,,2024-06-24/2024-06-30,False
U000064,2024-06-19,43,Other,Tier 1,Android,Paid Ad,Arjun Savant,first_transaction,7,notification_opted_in,592.0,2024-06-17/2024-06-23,True
U000065,2024-03-02,50,Male,Tier 2,Android,Organic,Rachita Khosla,app_open,2,signup_started,,2024-02-26/2024-03-03,False
U000066,2024-05-07,33,Female,Tier 3,Android,Paid Ad,Radha Ratti,app_open,2,signup_started,,2024-05-06/2024-05-12,False
U000067,2024-03-17,44,Other,Tier 2,Android,Referral,Bachittar Kohli,kyc_initiated,5,kyc_completed,,2024-03-11/2024-03-17,False
U000068,2024-03-30,28,Male,Tier 1,iOS,Referral,Shaurya Mukherjee,signup_started,3,signup_completed,,2024-03-25/2024-03-31,False
U000069,2024-02-21,44,Male,Tier 3,Android,Paid Ad,Nidra Patel,signup_started,3,signup_completed,,2024-02-19/2024-02-25,False
U000070,2024-02-17,41,Other,Tier 2,Android,Referral,Isaiah Gera,day1_return,9,day7_return,503.0,2024-02-12/2024-02-18,True
U000071,2024-04-19,45,Other,Tier 1,Android,Organic,Hardik Savant,app_open,2,signup_started,,2024-04-15/2024-04-21,False
U000072,2024-02-21,33,Other,Tier 1,Android,Paid Ad,Kabir Bora,app_install,1,app_open,,2024-02-19/2024-02-25,False
U000073,2024-04-23,26,Female,Tier 2,Android,Organic,Pallavi Goel,signup_started,3,signup_completed,,2024-04-22/2024-04-28,False
U000074,2024-06-23,42,Other,Tier 1,Android,Paid Ad,Harini Sangha,app_install,1,app_open,,2024-06-17/2024-06-23,False
U000075,2024-03-18,39,Female,Tier 1,Android,Organic,Mahika Mody,app_open,2,signup_started,,2024-03-18/2024-03-24,False
U000076,2024-02-12,19,Male,Tier 2,Android,Paid Ad,Sneha Wali,kyc_completed,6,first_transaction,,2024-02-12/2024-02-18,False
U000077,2024-04-08,37,Female,Tier 3,Android,Paid Ad,Maanav Bir,app_open,2,signup_started,,2024-04-08/2024-04-14,False
U000078,2024-01-18,41,Male,Tier 1,Android,Organic,Samuel Nayak,day7_return,10,,469.0,2024-01-15/2024-01-21,True
U000079,2024-06-16,18,Male,Tier 3,iOS,Referral,Tanmayi Thakkar,app_open,2,signup_started,,2024-06-10/2024-06-16,False
U000080,2024-01-30,29,Other,Tier 1,Android,Organic,Wakeeta Wali,app_open,2,signup_started,,2024-01-29/2024-02-04,False
U000081,2024-02-01,32,Other,Tier 2,Android,Organic,Chatresh Vyas,day7_return,10,,406.0,2024-01-29/2024-02-04,True
U000082,2024-03-22,51,Other,Tier 2,Android,Paid Ad,Rehaan Salvi,app_install,1,app_open,,2024-03-18/2024-03-24,False
U000083,2024-01-13,29,Female,Tier 1,Android,Referral,Qasim Kulkarni,day7_return,10,,190.0,2024-01-08/2024-01-14,True
U000084,2024-03-15,18,Other,Tier 1,Android,Organic,Vihaan Madan,app_install,1,app_open,,2024-03-11/2024-03-17,False
U000085,2024-03-31,43,Other,Tier 2,Android,Organic,Zaitra Warrior,app_install,1,app_open,,2024-03-25/2024-03-31,False
U000086,2024-02-18,31,Other,Tier 2,Android,Paid Ad,Oliver Loke,app_install,1,app_open,,2024-02-12/2024-02-18,False
U000087,2024-06-16,28,Male,Tier 2,Android,Organic,Krishna Bala,app_install,1,app_open,,2024-06-10/2024-06-16,False
U000088,2024-05-12,28,Other,Tier 2,Android,Referral,Ojas Arora,app_open,2,signup_started,,2024-05-06/2024-05-12,False
U000089,2024-01-23,34,Other,Tier 1,Android,Paid Ad,Advaith Dara,kyc_initiated,5,kyc_completed,,2024-01-22/2024-01-28,False
U000090,2024-06-20,18,Other,Tier 2,iOS,Paid Ad,Aarna Munshi,kyc_initiated,5,kyc_completed,,2024-06-17/2024-06-23,False
U000091,2024-05-25,28,Female,Tier 2,Android,Paid Ad,Akshay Ramakrishnan,signup_completed,4,kyc_initiated,,2024-05-20/2024-05-26,False
U000092,2024-05-29,50,Other,Tier 1,iOS,Social Media,Chakrika Devi,app_install,1,app_open,,2024-05-27/2024-06-02,False
U000093,2024-03-07,24,Male,Tier 1,Android,Organic,Harita Shroff,app_install,1,app_open,,2024-03-04/2024-03-10,False
U000094,2024-02-26,20,Female,Tier 2,Android,Paid Ad,Dayamai Gera,kyc_initiated,5,kyc_completed,,2024-02-26/2024-03-03,False
U000095,2024-01-31,43,Female,Tier 1,iOS,Organic,Daksha Dewan,day7_return,10,,200.0,2024-01-29/2024-02-04,True
U000096,2024-01-01,21,Other,Tier 2,Android,Referral,Anya Rastogi,app_install,1,app_open,,2024-01-01/2024-01-07,False
U000097,2024-06-19,38,Other,Tier 3,Android,Organic,Aarna Narang,app_install,1,app_open,,2024-06-17/2024-06-23,False
U000098,2024-02-21,39,Other,Tier 3,iOS,Paid Ad,Bahadurjit Verma,app_open,2,signup_started,,2024-02-19/2024-02-25,False
U000099,2024-05-27,28,Male,Tier 3,Android,Social Media,Hemang Choudhury,app_install,1,app_open,,2024-05-27/2024-06-02,False
U000100,2024-04-08,43,Male,Tier 2,iOS,Referral,Lavanya Sathe,signup_started,3,signup_completed,,2024-04-08/2024-04-14,False
